Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
AES,The AES Corporation,11.52,+0.39,+3.50%,13.838M,16.796M,8.201B,6.26,-35.46%
KEY,KeyCorp,18.46,+0.26,+1.43%,13.695M,14.339M,20.231B,--,+31.58%
MU,"Micron Technology, Inc.",122.29,+0.55,+0.45%,13.248M,23.658M,136.858B,22.03,-6.43%
CORZ,"Core Scientific, Inc.",18.00,+0.44,+2.51%,13.162M,14.334M,5.361B,--,+73.75%
IONQ,"IonQ, Inc.",44.39,-0.36,-0.80%,13.265M,21.913M,11.614B,--,+478.75%
GOOG,Alphabet Inc.,180.55,+0.79,+0.44%,13.153M,27.897M,2.184T,20.15,-5.21%
BB,BlackBerry Limited,4.3500,+0.1200,+2.84%,12.838M,15.565M,2.586B,217.50,+79.01%
SMMT,Summit Therapeutics Inc.,24.55,+1.93,+8.53%,12.618M,5.207M,18.232B,--,+225.17%
PBR,Petróleo Brasileiro S.A. - Petrobras,13.06,+0.11,+0.85%,12.593M,25.655M,80.388B,9.75,-13.68%
C,Citigroup Inc.,88.72,+1.96,+2.26%,13.23M,14.922M,165.705B,14.02,+37.04%
KGC,Kinross Gold Corporation,15.86,+0.29,+1.86%,12.079M,21.462M,19.465B,16.18,+84.85%
VLY,Valley National Bancorp,9.66,+0.32,+3.43%,11.924M,10.208M,5.413B,14.00,+45.92%
BABA,Alibaba Group Holding Limited,108.70,-2.01,-1.82%,11.734M,17.473M,259.355B,14.53,+47.89%
NKE,"NIKE, Inc.",76.39,0.00,0.00%,11.545M,19.946M,112.751B,35.37,+4.57%
AUR,"Aurora Innovation, Inc.",5.30,+0.13,+2.51%,11.053M,23.603M,9.375B,--,+77.85%
WFC,Wells Fargo & Company,83.60,+1.24,+1.51%,11.237M,18.463M,272.049B,15.04,+41.67%
NGD,New Gold Inc.,4.9900,+0.0900,+1.84%,10.866M,25.836M,3.949B,27.72,+127.85%
NCLH,Norwegian Cruise Line Holdings Ltd.,21.98,+0.61,+2.85%,10.813M,15.918M,9.821B,12.49,+21.30%
AVGO,Broadcom Inc.,275.18,+5.28,+1.96%,10.507M,25.48M,1.294T,100.07,+57.62%
EQX,Equinox Gold Corp.,5.80,-0.04,-0.68%,10.49M,14.818M,4.393B,8.17,+0.52%
HPE,Hewlett Packard Enterprise Company,21.34,+0.09,+0.42%,12.296M,19.742M,28.003B,20.52,+2.15%
MRVL,"Marvell Technology, Inc.",75.18,+0.93,+1.25%,10.218M,21.766M,64.82B,--,+0.36%
CMCSA,Comcast Corporation,35.99,+0.16,+0.45%,10.161M,22.833M,134.376B,8.86,-3.59%
VZ,Verizon Communications Inc.,43.55,-0.04,-0.09%,10.063M,19.116M,183.618B,10.37,+4.86%
MSTR,Strategy Incorporated,403.99,+1.71,+0.43%,9.886M,14.153M,112.851B,--,+213.03%
